"","sample_1","sample_2","sample_3","sample_4","sample_5"
"ENSG00000000003",29,6,8,4,10
"ENSG00000000419",295,242,321,158,174
"ENSG00000000457",235,315,290,189,215
"ENSG00000000460",32,46,39,25,37
"ENSG00000000938",8216,18861,13624,9746,8620
"ENSG00000000971",24,23,21,24,29
"ENSG00000001036",163,292,218,206,115
"ENSG00000001084",172,218,259,154,160
"ENSG00000001167",444,574,559,301,415
"ENSG00000001460",46,48,50,43,50
"ENSG00000001461",552,581,626,379,518
"ENSG00000001497",426,482,479,412,527
"ENSG00000001561",127,104,144,68,59
"ENSG00000001617",1,2,0,0,0
"ENSG00000001626",0,0,0,0,0
"ENSG00000001629",285,361,409,221,267
"ENSG00000001630",6,3,3,0,4
"ENSG00000001631",195,275,260,160,193
"ENSG00000002016",97,153,126,85,130
"ENSG00000002079",0,0,0,0,1
"ENSG00000002330",57,65,64,35,61
"ENSG00000002549",559,1140,1185,628,795
"ENSG00000002586",2599,2383,2719,2218,2046
"ENSG00000002587",23,19,22,10,21
"ENSG00000002726",1,82,42,8,24
"ENSG00000002745",10,5,5,7,14
"ENSG00000002746",0,0,0,0,0
"ENSG00000002822",785,637,595,535,788
"ENSG00000002834",4519,8911,6845,5028,5905
"ENSG00000002919",993,1464,1486,1046,1138
"ENSG00000002933",148,859,570,612,425
"ENSG00000003056",1284,1720,1839,1531,1299
"ENSG00000003096",11,7,8,11,7
"ENSG00000003137",0,69,0,2,24
"ENSG00000003147",45,33,34,35,42
"ENSG00000003249",123,68,119,66,94
"ENSG00000003393",121,273,219,140,135
"ENSG00000003400",888,1022,1092,651,803
"ENSG00000003402",3671,7040,5423,2999,4367
"ENSG00000003436",1,3,7,4,8
"ENSG00000003509",160,150,187,79,121
"ENSG00000003756",2376,3480,3161,2214,2784
"ENSG00000003987",18,21,31,10,18
"ENSG00000003989",0,0,0,0,0
"ENSG00000004059",1686,1906,1866,1372,1537
"ENSG00000004139",66,79,54,61,83
"ENSG00000004142",679,923,772,687,667
"ENSG00000004399",708,1773,1373,1113,790
"ENSG00000004455",1071,1437,1382,1129,1061
"ENSG00000004468",270,242,288,131,168
"ENSG00000004478",555,472,563,383,457
"ENSG00000004487",673,789,697,687,739
"ENSG00000004534",1381,2263,2131,1441,2181
"ENSG00000004660",380,663,591,495,576
"ENSG00000004700",237,286,283,199,211
"ENSG00000004766",193,232,230,170,154
"ENSG00000004776",0,0,0,0,0
"ENSG00000004777",165,206,137,121,258
"ENSG00000004779",358,242,240,183,212
"ENSG00000004799",80,464,332,218,101
"ENSG00000004809",14,19,16,9,27
"ENSG00000004838",47,51,61,47,54
"ENSG00000004846",0,0,0,0,1
"ENSG00000004848",1,0,0,0,0
"ENSG00000004864",81,140,130,110,86
