	Granulocytes	B cells (CD19+)	CD4+ T cells	CD8+ T cells	NK cells (CD3- CD56+)	Monocytes (CD14+)
sample_53	52.5134140551234	2.78961036231011	21.9704023849734	10.6003652629142	5.17134682026501	6.95486111441389
sample_54	53.9405513909996	2.65980766814594	22.4601408301419	8.76847125574862	5.03127459923343	7.13975425573053
sample_55	50.0091108903233	2.75581290440412	23.4294835847814	11.6457644978937	5.08388956817126	7.07593855442626
sample_56	50.8138708740859	2.77095010470804	24.8141592398513	9.45178703564512	5.12622800587881	7.02300473983084
sample_57	53.0858113325036	2.70051004722966	20.8371948933967	11.2216881142679	4.90281487772611	7.25198073487607
sample_58	52.9708178566001	2.75137354832939	22.37676616075	9.20308228549919	5.19485690289449	7.50310324592691
sample_59	53.7677809517857	2.70349204812699	21.8159729536264	9.4987515900139	4.93708663033328	7.27691582611375
sample_60	53.5719044881238	2.73858005174796	20.7511195920387	10.4393727676538	5.48761527602971	7.01140782440611
sample_61	52.1393931145901	2.8382530304626	22.7811957307708	9.84841051997141	5.48572743016782	6.90702017403726
sample_62	52.4327240825267	2.73449060044676	21.9314637042006	10.5323419460506	5.27208750778154	7.09689215899383
sample_63	53.1738567150718	2.72613744403612	22.2528488650318	9.69874195301119	4.82743847302851	7.32097654982056
sample_64	52.1064459029412	2.6677793977492	21.7575286566796	10.9676732322269	5.15938572349396	7.34118708690908
sample_65	52.0950058128569	2.74633674994949	23.4537200051867	9.5804173434185	5.09991975134659	7.02460033724182
sample_66	52.4517065297053	2.88492124728769	21.6530504745416	10.4917361626567	5.22515914863506	7.2934264371737
sample_67	52.2859967467061	2.94820936704634	21.2747990341503	11.5178929819724	4.79240276988643	7.18069910023848
sample_68	53.8583576239167	2.72762364256664	21.7000071429508	9.82320465799024	4.55931600480682	7.33149092776882
sample_69	52.8894290024718	2.71592656812815	23.0927706810337	9.04368310772094	4.87522593529869	7.38296470534677
sample_70	51.9756272588842	2.51332835260547	23.853536409536	9.30088065810824	4.95957014455123	7.39705717631487
sample_71	53.0768812257256	2.75082328083622	22.0499498525599	10.3036605452619	4.73598965983106	7.08269543578536
sample_72	54.3312755926769	2.67541199218592	21.1544562003203	9.06561937310956	5.30871268632958	7.46452415537776
sample_73	52.3819505905169	2.67126382501601	21.5648605654679	11.2010473257332	5.04675151631485	7.13412617695113
sample_74	51.9990358308587	2.79073906996418	22.8080888486232	10.4438399110189	4.72487349255398	7.23342284698102
sample_75	52.5244405488142	2.80422576626146	21.534493140219	10.6722506463883	5.30022872757578	7.1643611707413
sample_76	53.1235788621459	2.75790047579065	21.2108233649352	10.544843692188	5.11001978625393	7.25283381868636
sample_77	53.720767645566	2.80899957682398	20.8057814805226	10.6312545807514	5.00190309832623	7.03129361800973
sample_78	53.0102246500768	2.83071269836129	20.8761872433815	11.0816504902982	5.16432975301416	7.03689516486808
sample_79	53.6178804115296	2.79267509615495	22.0325689229235	9.73169717398923	4.69878880196059	7.12638959344209
sample_80	53.1988780622506	2.87063073189382	21.7802070083661	9.52546115925375	5.45892295017239	7.1659000880633
sample_81	53.9620361029505	2.71107762589596	21.5154369854462	9.08063293608739	5.45656642161993	7.27424992800007
sample_82	51.620213112938	2.52326033898857	23.200626622409	10.4146457365002	5.37218552325697	6.86906866590732
sample_83	54.9249871177941	2.63697025726517	18.8706135712709	10.3150277365073	5.90198418391676	7.35041713324571
sample_84	52.6816240403748	2.72909024539833	22.787626825715	9.44708200265893	5.34114072625666	7.01343615959624
sample_85	53.6235635646724	2.97457790642446	21.6365249212426	8.53006793073065	5.86613120806302	7.36913446886688
sample_86	53.4820171530879	2.8394971212139	23.4501661483176	8.56208129727653	4.62120053928118	7.04503774082283
sample_87	52.9951280928063	2.75099264440508	23.0335362199334	8.99751802992623	5.10512308077244	7.11770193215663
sample_88	53.6457316504053	2.52962220479128	21.3133530904998	10.426702465273	5.33007146201075	6.75451912701991
sample_89	53.1252383984309	2.77389202202727	21.3787197686579	10.3531447637474	5.18618186415369	7.18282318298286
sample_90	52.1219280610837	2.76101393569872	23.2847894144836	8.85160606761998	5.71803622503743	7.26262629607657
sample_91	50.9887493607789	2.64079012581261	23.4921360917544	10.9075306033812	4.87526909017328	7.09552472809957
sample_92	53.1097027298274	2.73000109555114	22.7299228420258	9.77832196751874	4.53153263035952	7.12051873471744
sample_93	51.9076324368967	2.73054378758082	22.5655116428953	10.5338593253135	5.06708060469352	7.19537220262018
sample_94	52.2647441148284	2.58388005833001	22.3144013558258	10.548836688961	5.09081520976171	7.19732257229308
sample_95	52.0148046490429	2.62161067520331	23.6247847980303	9.19715373740326	5.40650281046251	7.13514332985773
sample_96	53.4049898275483	2.76673293399879	21.3909694014289	9.94265483942452	5.01518854172421	7.47946445587535
sample_97	53.206125473598	2.8368923818275	21.2046882024106	10.5962564783319	5.00103216457232	7.15500529925963
sample_98	53.0749975524116	2.68761744486049	21.2625498898707	10.2024845204556	5.34749882271004	7.42485176969162
sample_99	55.6517316678019	2.54972189384587	21.6970290211662	7.54021305366619	5.27852221878205	7.28278214473779
sample_100	55.4099114255253	2.78929818887092	20.0481282238658	9.13407180274862	5.31970452058088	7.29888583840852
