	Granulocytes	B cells (CD19+)	CD4+ T cells	CD8+ T cells	NK cells (CD3- CD56+)	Monocytes (CD14+)
sample_1	54.195991410307	2.62394924537227	22.5698691378154	8.2552825624057	5.42382505678458	6.93108258731509
sample_2	53.2654028235656	2.55141630284568	21.2912505478313	10.4641379535635	5.26871351415534	7.15907885803868
sample_3	52.6315831891026	2.72611921990321	22.735398511827	9.30315904120661	5.44936509960356	7.15437493835701
sample_4	53.7956222389548	2.70718367649424	20.8265672020619	10.6909060223382	4.84096108192938	7.13875977822145
sample_5	53.730621397314	2.67919026145851	22.396255830141	9.73517514586152	4.32893763694046	7.12981972828452
sample_6	56.1466732685997	2.824298488418	20.8143629138868	8.2021499319336	4.70877027079254	7.30374512636944
sample_7	52.9065622682232	2.73361682652302	21.8041472492002	10.2256353168132	5.14560805005631	7.18443028918409
sample_8	53.1901045434125	2.70698506868424	22.0194262631016	9.34365626634333	5.19268298245678	7.54714487600158
sample_9	52.4885530409413	2.62460652436477	21.9990872610752	10.335298133289	5.11145528429722	7.44099975603251
sample_10	50.8830470231949	2.64104395347319	23.6308662808404	10.7749931486589	5.35780163416804	6.71224795966447
sample_11	52.4397505575774	2.54711731778797	23.7399077671052	9.13542125391694	5.14923159700693	6.98857150660551
sample_12	54.3930564723891	2.82888803564551	21.0000631682072	9.8971284471846	4.58541099313164	7.29545288344192
sample_13	52.5939100648105	2.74900640557158	22.0498750833834	10.8313299161191	4.75330214677555	7.02257638333993
sample_14	54.6090500131209	2.68179826988056	22.0176952066017	8.64741424146126	4.8523634679793	7.19167880095629
sample_15	54.0144672768947	2.6383908900693	22.2475248274193	8.89357603482995	5.10467368901167	7.10136728177512
sample_16	53.5210623422775	2.72933198320286	21.1328619153718	10.5247836009307	4.96247392864448	7.12948622957259
sample_17	54.019272213702	2.74348694266778	21.6086276061488	9.3170749785382	5.17267688932892	7.13886136961426
sample_18	53.6198707045345	2.64120786641125	21.3820610643617	10.273781101315	4.91929351069396	7.16378575268352
sample_19	56.361388552536	2.9508764024538	19.7865111869905	8.58966452435116	5.2519544560615	7.05960487760709
sample_20	55.3033535733715	2.56232399616157	20.1754752750776	9.33569608531376	5.11837145411727	7.50477961595826
sample_21	53.1654704330174	2.75853342163927	22.8938557169187	8.99607883891668	4.9564049362006	7.22965665330738
sample_22	53.0936939800451	2.77355441892158	21.3115216701205	10.6630186127418	4.861539077708	7.29667224046311
sample_23	54.0777975255341	2.94710655775088	20.399328322333	9.86026380158321	5.32835503032646	7.38714876247234
sample_24	51.8508475941791	2.66347573317346	22.0865023698399	11.4137084621047	4.89747726254129	7.08798857816149
sample_25	53.8219741569032	2.69528954107203	20.5759883547839	10.159387610162	5.46827767318391	7.27908266389494
sample_26	52.5773008193533	2.71940530716175	21.2094055070354	11.3833638101631	5.09414963970415	7.01637491658232
sample_27	53.0612425829205	2.63592752947828	22.5994211645662	9.32567951086075	5.17987062751286	7.19785858466139
sample_28	53.331022298241	2.75788985936827	22.269706066426	9.57001117162294	4.72054635908557	7.35082424525614
sample_29	52.395359139601	2.85659909613383	21.4607779336059	10.7863165616793	5.19109057342476	7.30985669555522
sample_30	54.1502302608129	2.63608954992751	21.4299948958571	9.43928712988755	5.05255852018644	7.29183964332846
sample_31	52.5303222024326	2.66947849150213	22.2356236713163	10.7468739050762	4.81927749383428	6.99842423583853
sample_32	51.0795103851816	2.58911843459844	22.3482949686763	11.5470993442055	5.36058211209338	7.07539475524479
sample_33	52.9071132927865	2.69909387401254	21.4088684550907	11.1515674851298	4.67231461477126	7.1610422782092
sample_34	52.9778390883097	2.68756774789837	22.3487749044904	9.83648578016979	5.13954589140156	7.00978658773017
sample_35	54.4497902566663	2.85278205074648	19.8308830356435	10.494904826921	5.18694745598768	7.18469237403506
sample_36	52.9537866914842	2.89608800859917	20.3679052104844	11.5717350734437	4.84766196654403	7.36282304944439
sample_37	52.7238770041453	2.64796412873895	22.4660002545873	10.4421070297168	4.85344390949251	6.86660767331905
sample_38	53.6783010292992	2.77927146897026	21.0604334074238	10.3825378935436	4.90700315692539	7.19245304383784
sample_39	53.9687841459838	2.84639214322998	20.9877180038226	10.2089613483501	4.9681146936239	7.02002966498957
sample_40	53.7440971813417	2.61618844729719	21.4583871691383	10.1657893397732	5.00931099542048	7.00622686702911
sample_41	55.3490280102692	2.85730997346312	20.5824436957277	8.80177451088419	5.14255328893702	7.2668905207188
sample_42	53.2423927055514	2.89571250079242	21.5387553481683	9.44456068740887	5.3065359825133	7.57204277556572
sample_43	53.5113869028055	2.80753526726898	21.675195063062	9.91211486298337	4.90895174960757	7.18481615427254
sample_44	53.9747329957092	2.87598410025047	20.5728810784436	10.7821021891382	4.76976557025751	7.02453406620097
sample_45	52.6913467906767	2.66512830771364	23.1614219315355	9.55839615507553	4.69252291307377	7.2311839019249
sample_46	53.4678086444546	2.7195641720107	21.8460801674984	10.1340671575952	4.76208510879339	7.07039474964765
sample_47	53.9761775540769	2.72025141921398	21.6293337714574	9.18976375664742	5.33139791899823	7.15307557960606
sample_48	53.6785776832242	2.82323396883578	22.1841497699862	8.72355735570959	5.40865876819006	7.18182245405415
sample_49	52.8701037385297	2.76196957864754	23.0008876021836	9.20637203693518	4.76983687058204	7.39083017312192
sample_50	53.3313856830935	2.71583794957332	20.5214794731064	11.3443454733598	4.77318935487112	7.31376206599594
sample_51	51.4370278149707	2.82874789839707	23.4744676108805	10.2097248888692	4.87883594441019	7.17119584247244
sample_52	52.0310585326576	2.78786563400809	21.6348835332191	10.9551317631423	5.38227795049347	7.20878258647943
